epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,4133.38,0.6967,0.33361,1.30049,0.96719,0.97727,0.98988,0.80904,0.69171,0.23704,1.45335,0.00898497,0.00898497,0.00898497
85,4183.69,0.69411,0.33096,1.299,0.97073,0.97657,0.98906,0.80871,0.6798,0.23923,1.45502,0.00896127,0.00896127,0.00896127
86,4233.73,0.68272,0.33247,1.29501,0.97472,0.97959,0.98851,0.81677,0.68465,0.24187,1.45419,0.00893732,0.00893732,0.00893732
87,4282.41,0.67647,0.33107,1.28833,0.9717,0.97885,0.9891,0.82056,0.68472,0.23575,1.45034,0.00891313,0.00891313,0.00891313
88,4330.99,0.68365,0.33509,1.30239,0.97187,0.97935,0.98957,0.82322,0.67265,0.22945,1.4329,0.0088887,0.0088887,0.0088887
89,4379.62,0.68257,0.33364,1.28731,0.97405,0.97802,0.9901,0.80985,0.68063,0.22622,1.45199,0.00886404,0.00886404,0.00886404
90,4427.69,0.68105,0.33298,1.28547,0.97276,0.98101,0.98961,0.81052,0.68064,0.23362,1.44836,0.00883914,0.00883914,0.00883914
91,4475.54,0.67139,0.32705,1.28028,0.97102,0.98183,0.98862,0.82076,0.67385,0.2339,1.45007,0.00881401,0.00881401,0.00881401
92,4523.37,0.66703,0.31825,1.28316,0.97934,0.97656,0.99086,0.81971,0.68507,0.22567,1.46456,0.00878864,0.00878864,0.00878864
93,4571.27,0.67471,0.31916,1.28152,0.97462,0.97573,0.99127,0.82116,0.66966,0.22969,1.45256,0.00876305,0.00876305,0.00876305
94,4619.28,0.66474,0.31856,1.26993,0.97118,0.97909,0.99072,0.81486,0.683,0.23043,1.46017,0.00873723,0.00873723,0.00873723
95,4667.25,0.65065,0.3137,1.2663,0.9764,0.98114,0.99287,0.81863,0.67114,0.22645,1.44558,0.00871117,0.00871117,0.00871117
96,4715.08,0.66052,0.31343,1.2662,0.97201,0.98114,0.98881,0.82021,0.66628,0.22255,1.43949,0.0086849,0.0086849,0.0086849
97,4762.95,0.66216,0.31076,1.27396,0.97157,0.98046,0.98931,0.81404,0.67173,0.22174,1.4515,0.00865839,0.00865839,0.00865839
98,4810.95,0.65153,0.31419,1.26186,0.97563,0.9686,0.98892,0.8185,0.67121,0.22806,1.44261,0.00863167,0.00863167,0.00863167
99,4858.78,0.64137,0.30313,1.24791,0.97408,0.98533,0.99133,0.81915,0.67271,0.22205,1.44421,0.00860473,0.00860473,0.00860473
100,4906.63,0.65398,0.30946,1.2629,0.97972,0.97454,0.99094,0.81821,0.67489,0.22629,1.45043,0.00857756,0.00857756,0.00857756
101,4954.52,0.6531,0.30952,1.26733,0.97829,0.97767,0.99066,0.82612,0.66291,0.22318,1.44286,0.00855018,0.00855018,0.00855018
102,5003.15,0.6346,0.30463,1.25362,0.97578,0.97409,0.99128,0.82501,0.65666,0.22185,1.43468,0.00852258,0.00852258,0.00852258
103,5051.15,0.63431,0.31538,1.25743,0.97241,0.98814,0.99182,0.82539,0.65947,0.21686,1.4366,0.00849477,0.00849477,0.00849477
104,5099,0.64552,0.3078,1.26313,0.97541,0.9768,0.99138,0.82594,0.65734,0.22281,1.42717,0.00846674,0.00846674,0.00846674
105,5146.9,0.6397,0.30902,1.25797,0.9739,0.97421,0.99119,0.81925,0.67323,0.2222,1.43606,0.00843851,0.00843851,0.00843851
106,5195.04,0.62648,0.29328,1.24317,0.96929,0.98163,0.98842,0.82252,0.6646,0.22494,1.44497,0.00841006,0.00841006,0.00841006
107,5243.05,0.62583,0.30007,1.24648,0.97816,0.97275,0.991,0.82428,0.66564,0.22052,1.44877,0.00838141,0.00838141,0.00838141
108,5291.16,0.62207,0.29922,1.24825,0.97291,0.96246,0.99028,0.82343,0.65846,0.23409,1.4419,0.00835255,0.00835255,0.00835255
109,5339.08,0.62893,0.29713,1.24419,0.97241,0.97671,0.99029,0.82635,0.66397,0.22309,1.4518,0.00832349,0.00832349,0.00832349
110,5387.65,0.62348,0.30154,1.23654,0.97538,0.98138,0.99134,0.82579,0.65702,0.21525,1.43888,0.00829423,0.00829423,0.00829423
111,5435.54,0.61486,0.29454,1.23283,0.97213,0.9772,0.99084,0.82154,0.65715,0.21968,1.43484,0.00826477,0.00826477,0.00826477
112,5483.55,0.60016,0.28485,1.22105,0.97137,0.97242,0.98091,0.81799,0.6542,0.22255,1.43344,0.00823511,0.00823511,0.00823511
113,5531.44,0.61076,0.29483,1.23948,0.97894,0.97457,0.99086,0.83835,0.6473,0.21749,1.42339,0.00820525,0.00820525,0.00820525
114,5580.94,0.60903,0.29898,1.23359,0.97041,0.97834,0.98994,0.82141,0.67025,0.22748,1.45803,0.0081752,0.0081752,0.0081752
115,5631.38,0.60936,0.29292,1.23029,0.97818,0.9787,0.99062,0.82243,0.66408,0.2117,1.4566,0.00814495,0.00814495,0.00814495
116,5682.02,0.59958,0.28283,1.22232,0.97769,0.98253,0.99009,0.82841,0.65708,0.21437,1.4402,0.00811452,0.00811452,0.00811452
117,5732.5,0.59743,0.28698,1.22444,0.97381,0.97967,0.98999,0.82393,0.66182,0.21784,1.45379,0.00808389,0.00808389,0.00808389
118,5782.98,0.5979,0.28697,1.21818,0.97564,0.98092,0.98896,0.82906,0.65684,0.21321,1.45402,0.00805308,0.00805308,0.00805308
119,5833.44,0.5902,0.27969,1.21014,0.97509,0.98418,0.99016,0.82466,0.66402,0.20678,1.47011,0.00802208,0.00802208,0.00802208
120,5884,0.60499,0.29145,1.22603,0.98018,0.97818,0.98947,0.82604,0.6571,0.20738,1.44965,0.0079909,0.0079909,0.0079909
121,5932.68,0.59862,0.28554,1.21576,0.98167,0.98257,0.99001,0.82848,0.65478,0.21044,1.45087,0.00795954,0.00795954,0.00795954
122,5980.54,0.5794,0.28109,1.20724,0.98046,0.9783,0.98984,0.8313,0.64971,0.21057,1.45943,0.007928,0.007928,0.007928
123,6028.43,0.5948,0.28403,1.22172,0.98318,0.97971,0.99064,0.82493,0.65057,0.21208,1.44815,0.00789628,0.00789628,0.00789628
